Relationship, Support, Confidence, Lift
"{'24037'}' -> '{'82125'}", 0.021390, 0.967033, 30.369264
"{'82125'}' -> '{'24037'}", 0.021390, 0.671756, 30.369264
"{'24037'}' -> '{'82125', '98490'}", 0.020904, 0.945055, 39.673021
"{'82125'}' -> '{'24037', '98490'}", 0.020904, 0.656489, 30.345999
"{'98490'}' -> '{'24037', '82125'}", 0.020904, 0.834951, 39.033981
"{'24037', '82125'}' -> '{'98490'}", 0.020904, 0.977273, 39.033981
"{'24037', '98490'}' -> '{'82125'}", 0.020904, 0.966292, 30.345999
"{'82125', '98490'}' -> '{'24037'}", 0.020904, 0.877551, 39.673021
"{'24037'}' -> '{'98490'}", 0.021633, 0.978022, 39.063907
"{'98490'}' -> '{'24037'}", 0.021633, 0.864078, 39.063907
"{'54782'}' -> '{'14148'}", 0.021147, 0.925532, 40.942347
"{'14148'}' -> '{'54782'}", 0.021147, 0.935484, 40.942347
"{'54782'}' -> '{'44776', '14148'}", 0.020175, 0.882979, 41.279255
"{'44776'}' -> '{'54782', '14148'}", 0.020175, 0.864583, 40.883860
"{'14148'}' -> '{'54782', '44776'}", 0.020175, 0.892473, 40.795938
"{'54782', '44776'}' -> '{'14148'}", 0.020175, 0.922222, 40.795938
"{'54782', '14148'}' -> '{'44776'}", 0.020175, 0.954023, 40.883860
"{'44776', '14148'}' -> '{'54782'}", 0.020175, 0.943182, 41.279255
"{'44776'}' -> '{'14148'}", 0.021390, 0.916667, 40.550179
"{'14148'}' -> '{'44776'}", 0.021390, 0.946237, 40.550179
"{'45122'}' -> '{'55020'}", 0.020418, 0.903226, 39.955602
"{'55020'}' -> '{'45122'}", 0.020418, 0.903226, 39.955602
"{'45122'}' -> '{'40313'}", 0.020661, 0.913978, 24.103253
"{'40313'}' -> '{'45122'}", 0.020661, 0.544872, 24.103253
"{'54782'}' -> '{'44776'}", 0.021877, 0.957447, 41.030585
"{'44776'}' -> '{'54782'}", 0.021877, 0.937500, 41.030585
"{'25161'}' -> '{'61432'}", 0.020175, 0.830000, 33.476667
"{'61432'}' -> '{'25161'}", 0.020175, 0.813725, 33.476667
"{'74994'}' -> '{'25161'}", 0.021147, 0.813084, 33.450280
"{'25161'}' -> '{'74994'}", 0.021147, 0.870000, 33.450280
"{'64408'}' -> '{'25161'}", 0.021390, 0.400000, 16.456000
"{'25161'}' -> '{'64408'}", 0.021390, 0.880000, 16.456000
"{'64408'}' -> '{'39749', '25161'}", 0.020661, 0.386364, 17.091398
"{'39749'}' -> '{'64408', '25161'}", 0.020661, 0.745614, 34.857456
"{'25161'}' -> '{'64408', '39749'}", 0.020661, 0.850000, 33.303810
"{'64408', '39749'}' -> '{'25161'}", 0.020661, 0.809524, 33.303810
"{'64408', '25161'}' -> '{'39749'}", 0.020661, 0.965909, 34.857456
"{'39749', '25161'}' -> '{'64408'}", 0.020661, 0.913978, 17.091398
"{'7686'}' -> '{'25161'}", 0.021633, 0.824074, 33.902407
"{'25161'}' -> '{'7686'}", 0.021633, 0.890000, 33.902407
"{'7686'}' -> '{'39749', '25161'}", 0.020418, 0.777778, 34.406213
"{'39749'}' -> '{'7686', '25161'}", 0.020418, 0.736842, 34.060319
"{'25161'}' -> '{'7686', '39749'}", 0.020418, 0.840000, 34.557600
"{'7686', '39749'}' -> '{'25161'}", 0.020418, 0.840000, 34.557600
"{'7686', '25161'}' -> '{'39749'}", 0.020418, 0.943820, 34.060319
"{'39749', '25161'}' -> '{'7686'}", 0.020418, 0.903226, 34.406213
"{'39749'}' -> '{'25161'}", 0.022606, 0.815789, 33.561579
"{'25161'}' -> '{'39749'}", 0.022606, 0.930000, 33.561579
"{'88631'}' -> '{'92490'}", 0.023578, 0.950980, 36.908805
"{'92490'}' -> '{'88631'}", 0.023578, 0.915094, 36.908805
"{'7190'}' -> '{'88631', '92490'}", 0.022606, 0.885714, 37.565243
"{'88631'}' -> '{'7190', '92490'}", 0.022606, 0.911765, 37.510000
"{'92490'}' -> '{'7190', '88631'}", 0.022606, 0.877358, 36.831151
"{'7190', '88631'}' -> '{'92490'}", 0.022606, 0.948980, 36.831151
"{'7190', '92490'}' -> '{'88631'}", 0.022606, 0.930000, 37.510000
"{'88631', '92490'}' -> '{'7190'}", 0.022606, 0.958763, 37.565243
"{'7190'}' -> '{'92490', '88631', '95398'}", 0.021877, 0.857143, 37.513678
"{'95398'}' -> '{'7190', '88631', '92490'}", 0.021877, 0.825688, 36.525599
"{'88631'}' -> '{'7190', '92490', '95398'}", 0.021877, 0.882353, 37.422680
"{'92490'}' -> '{'7190', '88631', '95398'}", 0.021877, 0.849057, 36.768620
"{'7190', '95398'}' -> '{'88631', '92490'}", 0.021877, 0.882353, 37.422680
"{'7190', '88631'}' -> '{'92490', '95398'}", 0.021877, 0.918367, 36.681197
"{'7190', '92490'}' -> '{'88631', '95398'}", 0.021877, 0.900000, 37.400000
"{'88631', '95398'}' -> '{'7190', '92490'}", 0.021877, 0.909091, 37.400000
"{'92490', '95398'}' -> '{'7190', '88631'}", 0.021877, 0.873786, 36.681197
"{'88631', '92490'}' -> '{'7190', '95398'}", 0.021877, 0.927835, 37.422680
"{'7190', '88631', '95398'}' -> '{'92490'}", 0.021877, 0.947368, 36.768620
